sep=,,,
Time , x , y , z
2017-03-26 10:35:48.599 ,-0.7659999728,7.9679999352,6.4349999428
2017-03-26 10:35:48.799 ,-0.6119999886,9.1940002441,3.3710000515
2017-03-26 10:35:48.986 ,-1.3789999485,7.8140001297,3.8299999237
2017-03-26 10:35:49.207 ,0.3059999943,8.4270000458,6.5890002251
2017-03-26 10:35:49.387 ,-1.3789999485,6.742000103,6.8949999809
2017-03-26 10:35:49.586 ,-2.4509999752,6.8949999809,8.1210002899
2017-03-26 10:35:49.786 ,-1.6849999428,6.2820000648,7.2020001411
2017-03-26 10:35:49.986 ,-0.7659999728,7.2020001411,6.1290001869
2017-03-26 10:35:50.192 ,1.0720000267,7.6609997749,6.2820000648
2017-03-26 10:35:50.386 ,-1.9919999838,6.2820000648,3.2170000076
2017-03-26 10:35:50.587 ,0,4.4429998398,-0.9190000296
2017-03-26 10:35:50.786 ,8.5810003281,6.4349999428,1.9919999838
2017-03-26 10:35:50.986 ,9.5,1.9919999838,4.2899999619
2017-03-26 10:35:51.192 ,2.9110000134,-7.8140001297,17.9279994965
2017-03-26 10:35:51.386 ,6.5890002251,1.5319999456,3.5239999294
2017-03-26 10:35:51.586 ,-1.6849999428,2.757999897,7.8140001297
2017-03-26 10:35:51.789 ,2.4509999752,5.2090001106,9.0399999619
2017-03-26 10:35:51.986 ,4.4429998398,4.5970001221,7.8140001297
2017-03-26 10:35:52.192 ,4.75,5.6690001488,5.515999794
2017-03-26 10:35:52.386 ,4.9029998779,6.8949999809,6.4349999428
2017-03-26 10:35:52.586 ,-2.4509999752,6.4349999428,4.1370000839
2017-03-26 10:35:52.786 ,-0.4589999914,7.2020001411,5.3629999161
2017-03-26 10:35:52.986 ,-1.0720000267,7.507999897,6.1290001869
2017-03-26 10:35:53.192 ,0.9190000296,5.9759998322,11.1859998703
2017-03-26 10:35:53.387 ,3.6770000458,7.9679999352,10.7259998322
2017-03-26 10:35:53.594 ,-1.2250000238,5.6690001488,9.1940002441
2017-03-26 10:35:53.788 ,-2.1449999809,5.515999794,6.2820000648
2017-03-26 10:35:53.986 ,-1.8380000591,5.0560002327,5.9759998322
2017-03-26 10:35:54.191 ,-0.3059999943,5.8220000267,5.515999794
2017-03-26 10:35:54.387 ,0.1529999971,8.1210002899,3.3710000515
2017-03-26 10:35:54.587 ,-0.1529999971,8.4270000458,6.742000103
2017-03-26 10:35:54.789 ,0.6119999886,7.9679999352,4.9029998779
2017-03-26 10:35:54.986 ,-0.6119999886,8.4270000458,6.4349999428
2017-03-26 10:35:55.192 ,-2.757999897,7.6609997749,3.9839999676
2017-03-26 10:35:55.386 ,-2.1449999809,9.0399999619,4.1370000839
2017-03-26 10:35:55.587 ,-1.5319999456,9.6529998779,3.2170000076
2017-03-26 10:35:55.788 ,-1.6849999428,8.4270000458,2.9110000134
2017-03-26 10:35:55.987 ,-1.9919999838,8.734000206,3.3710000515
2017-03-26 10:35:56.192 ,-2.1449999809,7.8140001297,6.4349999428
2017-03-26 10:35:56.389 ,-0.1529999971,9.9600000381,3.8299999237
2017-03-26 10:35:56.589 ,-2.757999897,8.4270000458,7.9679999352
2017-03-26 10:35:56.789 ,-0.7659999728,7.8140001297,2.1449999809
2017-03-26 10:35:56.990 ,-1.2250000238,8.8870000839,2.9110000134
2017-03-26 10:35:57.202 ,0.1529999971,8.4270000458,8.1210002899
2017-03-26 10:35:57.386 ,-0.1529999971,7.8140001297,6.5890002251
2017-03-26 10:35:57.624 ,-2.9110000134,7.2020001411,5.2090001106
2017-03-26 10:35:57.788 ,-0.9190000296,7.3550000191,3.9839999676
2017-03-26 10:35:57.987 ,1.3789999485,7.3550000191,5.2090001106
2017-03-26 10:35:58.192 ,1.0720000267,6.742000103,10.265999794
2017-03-26 10:35:58.386 ,-0.1529999971,8.1210002899,7.3550000191
2017-03-26 10:35:58.588 ,-2.6040000916,6.742000103,3.6770000458
2017-03-26 10:35:58.789 ,1.2250000238,9.3470001221,4.9029998779
2017-03-26 10:35:58.990 ,-2.2980000973,7.6609997749,7.3550000191
2017-03-26 10:35:59.192 ,-1.2250000238,8.1210002899,3.2170000076
2017-03-26 10:35:59.387 ,-2.4509999752,8.1210002899,4.1370000839
2017-03-26 10:35:59.589 ,-1.8380000591,8.734000206,3.5239999294
2017-03-26 10:35:59.791 ,-1.3789999485,8.8870000839,4.9029998779
2017-03-26 10:35:59.987 ,1.8380000591,5.2090001106,3.6770000458
2017-03-26 10:36:00.200 ,-2.6040000916,4.1370000839,-11.7989997864
2017-03-26 10:36:00.406 ,3.5239999294,8.5810003281,7.507999897
2017-03-26 10:36:00.608 ,-5.0560002327,-2.4509999752,-12.5649995804
2017-03-26 10:36:00.808 ,-11.3389997482,-4.4429998398,8.8870000839
2017-03-26 10:36:01.008 ,-5.3629999161,1.3789999485,9.5
2017-03-26 10:36:01.210 ,-5.6690001488,2.2980000973,2.4509999752
2017-03-26 10:36:01.408 ,-4.5970001221,0.9190000296,8.1210002899
2017-03-26 10:36:01.599 ,-2.6040000916,2.1449999809,9.8070001602
2017-03-26 10:36:01.807 ,0.1529999971,3.6770000458,11.3389997482
2017-03-26 10:36:02.001 ,-6.2820000648,1.0720000267,17.7749996185
2017-03-26 10:36:02.224 ,4.5970001221,1.8380000591,6.1290001869
2017-03-26 10:36:02.423 ,1.9919999838,6.4349999428,4.1370000839
2017-03-26 10:36:02.624 ,2.6040000916,8.2740001678,4.2899999619
2017-03-26 10:36:02.823 ,3.2170000076,7.9679999352,3.8299999237
2017-03-26 10:36:03.028 ,2.2980000973,7.8140001297,3.8299999237
2017-03-26 10:36:03.191 ,2.1449999809,8.1210002899,3.9839999676
2017-03-26 10:36:03.399 ,1.5319999456,8.4270000458,2.757999897
2017-03-26 10:36:03.599 ,5.3629999161,9.1940002441,8.2740001678
2017-03-26 10:36:03.799 ,4.5970001221,8.4270000458,10.265999794
2017-03-26 10:36:03.999 ,-0.7659999728,4.1370000839,6.8949999809
2017-03-26 10:36:04.191 ,-1.9919999838,3.3710000515,9.0399999619
2017-03-26 10:36:04.390 ,4.4429998398,6.5890002251,7.0479998589
2017-03-26 10:36:04.586 ,0.9190000296,8.2740001678,7.6609997749
2017-03-26 10:36:04.786 ,4.5970001221,4.4429998398,7.507999897
2017-03-26 10:36:04.987 ,0.3059999943,4.9029998779,5.9759998322
2017-03-26 10:36:05.192 ,-2.2980000973,7.6609997749,2.9110000134
2017-03-26 10:36:05.389 ,1.5319999456,7.507999897,7.9679999352
2017-03-26 10:36:05.588 ,-0.9190000296,6.8949999809,6.2820000648
2017-03-26 10:36:05.804 ,-0.1529999971,7.2020001411,5.9759998322
2017-03-26 10:36:05.988 ,-0.1529999971,7.6609997749,5.3629999161
2017-03-26 10:36:06.191 ,0,8.1210002899,5.8220000267
2017-03-26 10:36:06.386 ,1.5319999456,7.3550000191,6.2820000648
2017-03-26 10:36:06.586 ,0.4589999914,7.3550000191,6.2820000648
2017-03-26 10:36:06.786 ,0.4589999914,7.2020001411,6.1290001869
2017-03-26 10:36:06.986 ,1.3789999485,8.1210002899,6.1290001869
2017-03-26 10:36:07.195 ,1.5319999456,7.3550000191,5.6690001488
2017-03-26 10:36:07.387 ,0.6119999886,7.507999897,5.6690001488
2017-03-26 10:36:07.586 ,0.6119999886,6.2820000648,4.5970001221
2017-03-26 10:36:07.794 ,7.6609997749,-1.2250000238,-4.1370000839
2017-03-26 10:36:07.987 ,4.2899999619,10.7259998322,9.6529998779
2017-03-26 10:36:08.192 ,9.3470001221,7.3550000191,10.4189996719
2017-03-26 10:36:08.386 ,2.757999897,-1.5319999456,-3.3710000515
2017-03-26 10:36:08.598 ,2.757999897,2.4509999752,7.2020001411
2017-03-26 10:36:08.787 ,0.3059999943,1.0720000267,9.9600000381
2017-03-26 10:36:08.987 ,-6.2820000648,-4.75,9.9600000381
2017-03-26 10:36:09.193 ,-1.9919999838,-1.9919999838,11.7989997864
2017-03-26 10:36:09.388 ,-6.4349999428,-3.5239999294,14.4040002823
2017-03-26 10:36:09.593 ,0.6119999886,2.6040000916,9.6529998779
2017-03-26 10:36:09.787 ,3.5239999294,-0.9190000296,17.1620006561
2017-03-26 10:36:10.013 ,3.5239999294,4.1370000839,5.515999794
2017-03-26 10:36:10.194 ,1.3789999485,6.4349999428,3.9839999676
2017-03-26 10:36:10.394 ,4.9029998779,9.6529998779,2.757999897
2017-03-26 10:36:10.588 ,2.6040000916,9.9600000381,6.5890002251
2017-03-26 10:36:10.793 ,0,8.2740001678,4.9029998779
2017-03-26 10:36:10.987 ,-0.6119999886,5.9759998322,5.515999794
2017-03-26 10:36:11.193 ,-2.757999897,6.4349999428,5.2090001106
2017-03-26 10:36:11.392 ,1.9919999838,8.2740001678,6.5890002251
2017-03-26 10:36:11.587 ,0.3059999943,9.5,9.8070001602
2017-03-26 10:36:11.786 ,1.8380000591,6.1290001869,7.8140001297
2017-03-26 10:36:11.998 ,1.3789999485,4.75,6.8949999809
2017-03-26 10:36:12.199 ,-1.2250000238,6.5890002251,4.9029998779
2017-03-26 10:36:12.398 ,-0.4589999914,7.507999897,7.507999897
2017-03-26 10:36:12.607 ,-0.6119999886,7.0479998589,5.8220000267
2017-03-26 10:36:12.806 ,-0.1529999971,7.0479998589,7.2020001411
2017-03-26 10:36:12.994 ,0.3059999943,5.9759998322,9.0399999619
2017-03-26 10:36:13.201 ,0.6119999886,8.1210002899,4.5970001221
2017-03-26 10:36:13.398 ,0.3059999943,7.8140001297,6.5890002251
2017-03-26 10:36:13.598 ,0.6119999886,7.507999897,7.3550000191
2017-03-26 10:36:13.798 ,1.5319999456,7.8140001297,5.8220000267
2017-03-26 10:36:13.998 ,1.8380000591,6.742000103,6.2820000648
2017-03-26 10:36:14.207 ,0.7659999728,7.3550000191,5.8220000267
2017-03-26 10:36:14.399 ,0.6119999886,7.3550000191,6.4349999428
2017-03-26 10:36:14.610 ,0.4589999914,6.8949999809,6.8949999809
2017-03-26 10:36:14.809 ,0.6119999886,6.8949999809,6.1290001869
2017-03-26 10:36:14.998 ,-0.3059999943,6.2820000648,4.5970001221
2017-03-26 10:36:15.198 ,-1.9919999838,3.8299999237,3.0639998913
2017-03-26 10:36:15.414 ,-0.6119999886,-0.4589999914,4.9029998779
2017-03-26 10:36:15.586 ,5.3629999161,-3.5239999294,5.3629999161
2017-03-26 10:36:15.786 ,-5.0560002327,-2.9110000134,13.0240001678
2017-03-26 10:36:15.986 ,2.1449999809,1.0720000267,9.0399999619
2017-03-26 10:36:16.192 ,2.2980000973,1.3789999485,8.8870000839
2017-03-26 10:36:16.390 ,1.2250000238,1.8380000591,9.1940002441
2017-03-26 10:36:16.586 ,-0.4589999914,0.6119999886,10.5729999542
2017-03-26 10:36:16.792 ,-0.6119999886,-0.9190000296,10.7259998322
2017-03-26 10:36:16.986 ,1.3789999485,-1.3789999485,9.3470001221
2017-03-26 10:36:17.191 ,4.75,-1.5319999456,9.5
2017-03-26 10:36:17.386 ,1.6849999428,-0.4589999914,11.031999588
2017-03-26 10:36:17.586 ,4.2899999619,3.2170000076,9.0399999619
2017-03-26 10:36:17.786 ,0.9190000296,5.9759998322,8.2740001678
2017-03-26 10:36:17.986 ,2.1449999809,6.2820000648,13.9440002441
2017-03-26 10:36:18.192 ,-1.8380000591,6.2820000648,7.507999897
2017-03-26 10:36:18.386 ,-1.2250000238,4.4429998398,6.2820000648
2017-03-26 10:36:18.586 ,1.9919999838,5.2090001106,8.1210002899
2017-03-26 10:36:18.787 ,-1.5319999456,3.8299999237,4.9029998779
2017-03-26 10:36:18.986 ,1.3789999485,6.742000103,7.2020001411
2017-03-26 10:36:19.191 ,-0.1529999971,5.515999794,8.2740001678
2017-03-26 10:36:19.386 ,0.6119999886,6.2820000648,8.2740001678
2017-03-26 10:36:19.587 ,0.4589999914,6.5890002251,6.4349999428
2017-03-26 10:36:19.787 ,0,6.742000103,6.5890002251
2017-03-26 10:36:19.986 ,0.1529999971,5.8220000267,7.6609997749
2017-03-26 10:36:20.192 ,1.5319999456,5.515999794,1.8380000591
2017-03-26 10:36:20.386 ,8.734000206,4.9029998779,3.0639998913
2017-03-26 10:36:20.587 ,-2.1449999809,17.468000412,-7.507999897
2017-03-26 10:36:20.787 ,-8.8870000839,1.8380000591,-0.7659999728
2017-03-26 10:36:20.993 ,-5.9759998322,-11.4919996262,3.0639998913
2017-03-26 10:36:21.192 ,9.8070001602,4.9029998779,6.5890002251
2017-03-26 10:36:21.391 ,-7.507999897,-2.1449999809,6.1290001869
2017-03-26 10:36:21.587 ,-8.8870000839,-3.0639998913,3.6770000458
2017-03-26 10:36:21.787 ,-10.8789997101,-4.4429998398,1.3789999485
2017-03-26 10:36:21.987 ,-8.734000206,-2.6040000916,4.1370000839
2017-03-26 10:36:22.192 ,-7.3550000191,-4.2899999619,6.742000103
2017-03-26 10:36:22.398 ,-3.3710000515,-2.1449999809,10.4189996719
2017-03-26 10:36:22.586 ,-3.0639998913,-2.1449999809,9.5
2017-03-26 10:36:22.787 ,-1.6849999428,-1.2250000238,10.265999794
2017-03-26 10:36:23.025 ,-2.757999897,-0.4589999914,11.3389997482
